,cluster,lanes_in_cluster,num_carriers,avg_mileage,origin_city,origin_state,destination_city,destination_state,avg_customer_rpm,avg_truck_rpm
7,7,316,145,695.6107911392405,BLUE BALL,PA,CHICAGO,IL,1.6256776612084969,1.454286031568377
6,6,242,5,257.0,JAMESTOWN,NY,TOLEDO,OH,5.544747081712062,2.956362350065923
10,10,230,20,1642.1538695652175,Lic. Luis Donaldo Colosio,Tamaulipas,WARREN,OH,2.020040461706456,1.78184329970244
3,3,222,59,877.6126126126126,FITCHBURG,MA,ARCOLA,IN,1.6631165631576246,1.188369347636401
32,32,196,40,430.8316326530612,TONAWANDA,NY,CHARLOTTE,MI,2.214511564013595,1.8328339826865458
4,4,154,2,750.8766233766233,ROME,NY,DEERFIELD,IL,2.410169931249189,1.7646041423444458
11,11,151,31,322.44105960264903,BEAVER DAM,WI,TIPP CITY,OH,2.128170454685491,2.1140472307685987
25,25,135,52,1157.9937777777777,ARLINGTON,TX,ONTARIO,OH,2.040397965421166,1.8810725395057453
22,22,134,85,729.6066417910448,MINOR HILL,TN,MAYVILLE,WI,1.8769921923784527,1.5439110565507133
14,14,128,43,346.1328125,NEFFSVILLE,PA,AKRON,OH,2.138364292969191,1.8898092766053494
21,21,99,17,451.2020202020202,NEFFSVILLE,PA,WEST LIBERTY,OH,1.9481125612841124,1.7025453894199556
0,0,88,74,1891.22625,PHOENIX,AZ,DECATUR,MI,2.220291536437608,1.9562824528650273
52,52,86,65,1200.7906976744187,HOUSTON,TX,ANTWERP,OH,1.9326101018708604,1.696314443971027
8,8,84,39,421.42880952380955,NEW KENSINGTN,PA,LAFAYETTE,IN,2.290214525302529,1.8055357030871733
81,81,82,15,736.3895121951219,MEMPHIS,TN,DETROIT,MI,1.9642582117033103,1.6883628328989462
45,45,78,66,567.025641025641,ATKINS,VA,BATTLE CREEK,MI,1.8958578276205118,1.7196120104910917
44,44,69,65,1095.4347826086957,E PETERSBURG,PA,EDINA,MN,1.6975817953297612,1.619633525170338
56,56,66,40,513.4551515151516,NEFFSVILLE,PA,DETROIT,MI,1.7858400780924477,1.666310592173522
15,15,65,30,1274.1615538461538,AMARILLO,TX,N RIDGEVILLE,OH,1.844862058972573,1.7968739406683862
23,23,61,14,1530.8524590163934,El Centinela,Coahuila de Zaragoza,MARSHALL,MI,1.978968109485768,1.8142682743997773
67,67,58,19,997.5825862068966,COPPELL,TX,ROCHESTER,WI,2.1100902716722616,1.8427683543268996
31,31,54,1,1974.2222222222222,FERNLEY,NV,ELKHART,IN,1.938426478313072,1.745647606183401
28,28,53,32,930.5507547169811,LITITZ,PA,MEMPHIS,MO,1.6437607754709676,1.5844542459030653
34,34,52,44,777.935576923077,PACOLET,SC,PRAIRIE VIEW,IL,1.9123103183598602,1.750812369523381
20,20,50,39,1072.22,NEFFSVILLE,PA,KANSAS CITY,MO,1.6671977765757027,1.5828841096043722
